Time,0,1,2,3
00:00:00,0.0888464372955583,0.10087341599319996,0.1470589959906206,0.3133063569807324
01:00:00,0.08176274775678283,0.08862608006407098,0.13134236454867765,0.2591602158460384
02:00:00,0.08286722779345765,0.08752758053414347,0.11642915784935093,0.24799437011789388
03:00:00,0.08264718203025082,0.08679216917896038,0.10948569081359061,0.21240910153592807
04:00:00,0.08290596950909405,0.08380967668971871,0.10492024396765856,0.19771287828249356
05:00:00,0.08396782901215855,0.09515600474452401,0.10900480880555878,0.1712702322010995
06:00:00,0.08346644427780107,0.09234682633235658,0.11542932205535168,0.18747361009729727
07:00:00,0.09000043442441243,0.12128915123955587,0.15558580813124184,0.2345355383797193
08:00:00,0.09578951940192254,0.1456918237751202,0.18390511374354812,0.2840077409916098
09:00:00,0.11331605445379417,0.19276296357489542,0.21396028615261375,0.36982758615640543
10:00:00,0.11888983359508067,0.2120328463864688,0.2656139573271365,0.47171006336384624
11:00:00,0.12238470189801803,0.21281072416930116,0.27348404875382826,0.5446809757710097
12:00:00,0.12416703773556403,0.21744665645500785,0.32716108369591923,0.635509031084711
13:00:00,0.11890154764601468,0.20674793047345497,0.38107548677691166,0.7053190242582489
14:00:00,0.11592248553789009,0.21901971006810456,0.4166989208921479,0.7872331690087866
15:00:00,0.12442310228144987,0.2312910140766194,0.4559758385403057,0.9201970442137393
16:00:00,0.12564105348167856,0.23788099579722136,0.484113300533136,0.8591191649680311
17:00:00,0.12165345020110381,0.22428485549137359,0.5204345999826421,0.8481468448349756
18:00:00,0.1273127652112809,0.2109061491239333,0.5175609898452453,0.8446575180311914
19:00:00,0.11616983824720488,0.19181458014949904,0.4502609195724679,0.7375087967530471
20:00:00,0.10748710289227084,0.16583786306949755,0.3796475955382717,0.7072190944033947
21:00:00,0.09587680849983969,0.14253438648879185,0.2964871686108942,0.5355618108249351
22:00:00,0.0867189325431287,0.12499149538742442,0.22770056300975422,0.46718273523507564
23:00:00,0.08609940653009411,0.10507209669665109,0.17682441940023944,0.38303424812642356
