timestampstring,0,1,2,3
2013-01-01,129.0,,,
2013-01-02,139.49999999999997,,,
2013-01-03,164.0,,,
2013-01-04,174.0,,,
2013-01-05,139.25,,,
2013-01-06,144.99999999999997,,,
2013-01-07,188.0,,,
2013-01-08,177.74999999999997,,,
2013-01-09,164.25,,,
2013-01-10,171.50000000000003,,,
2013-01-11,179.00000000000003,,,
2013-01-12,119.75,,,
2013-01-13,130.5,,,
2013-01-14,170.75,,,
2013-01-15,177.25,,,
2013-01-16,191.74999999999997,,,
2013-01-17,192.99999999999997,,,
2013-01-18,,210.25,,
2013-01-19,147.25,,,
2013-01-20,145.25,,,
2013-01-21,,232.00000000000006,,
2013-01-22,,227.48449999999139,,
2013-01-23,,222.03124999999997,,
2013-01-24,,207.99999999999994,,
2013-01-25,,216.0,,
2013-01-26,129.48425000000861,,,
2013-01-27,138.51574999999136,,,
2013-01-28,,213.2342500000086,,
2013-01-29,,219.0,,
2013-01-30,,234.49999999999997,,
2013-01-31,,242.74999999999997,,
2013-02-01,,252.0,,
2013-02-02,150.0,,,
2013-02-03,173.0,,,
2013-02-04,,234.5,,
2013-02-05,,233.5,,
2013-02-06,,227.75,,
2013-02-07,,219.99999999999997,,
2013-02-08,,216.74999999999997,,
2013-02-09,118.5,,,
2013-02-10,122.74999999999999,,,
2013-02-11,,240.0,,
2013-02-12,,254.98449999999139,,
2013-02-13,,272.75,,
2013-02-14,,264.2344999999914,,
2013-02-15,,249.51550000000861,,
2013-02-16,151.25000000000006,,,
2013-02-17,143.0,,,
2013-02-18,,262.0,,
2013-02-19,,253.26550000000861,,
2013-02-20,,241.0,,
2013-02-21,,214.0,,
2013-02-22,,222.75,,
2013-02-23,132.25,,,
2013-02-24,129.25,,,
2013-02-25,,241.48449999999139,,
2013-02-26,,245.7655000000086,,
2013-02-27,,244.50000000000003,,
2013-02-28,,249.25,,
2013-03-01,,243.50000000000003,,
2013-03-02,161.25000000000003,,,
2013-03-03,147.24999999999997,,,
2013-03-04,,251.25,,
2013-03-05,,228.0,,
2013-03-06,,227.0,,
2013-03-07,,234.24999999999997,,
2013-03-08,,253.0,,
2013-03-09,156.0,,,
2013-03-10,174.5,,,
2013-03-11,,255.5,,
2013-03-12,,264.75,,
2013-03-13,,259.0,,
2013-03-14,,288.75,,
2013-03-15,,267.25,,
2013-03-16,148.23449999999139,,,
2013-03-17,152.26550000000861,,,
2013-03-18,,248.0,,
2013-03-19,,216.75000000000006,,
2013-03-20,,207.5,,
2013-03-21,,215.5,,
2013-03-22,,217.5,,
2013-03-23,176.50000000000003,,,
2013-03-24,169.0,,,
2013-03-25,,240.25,,
2013-03-26,,244.75,,
2013-03-27,,254.0,,
2013-03-28,,236.0,,
2013-03-29,160.5,,,
2013-03-30,161.5,,,
2013-03-31,,,,
2013-04-01,177.25,,,
2013-04-02,,226.5,,
2013-04-03,186.0,,,
2013-04-04,193.24999999999997,,,
2013-04-05,179.26574999999139,,,
2013-04-06,150.73425000000861,,,
2013-04-07,135.23449999999139,,,
2013-04-08,,200.0,,
2013-04-09,,212.26550000000861,,
2013-04-10,,229.5,,
2013-04-11,,245.48449999999139,,
2013-04-12,,244.0,,
2013-04-13,166.76550000000864,,,
2013-04-14,165.5,,,
2013-04-15,,304.25,,
2013-04-16,,268.5,,
2013-04-17,,,311.75,
2013-04-18,,,337.75,
2013-04-19,,255.99999999999997,,
2013-04-20,132.0,,,
2013-04-21,152.25,,,
2013-04-22,,236.25,,
2013-04-23,,246.25,,
2013-04-24,,255.0,,
2013-04-25,,,325.5,
2013-04-26,,312.25,,
2013-04-27,201.25,,,
2013-04-28,168.9921875,,,
2013-04-29,,262.7578125,,
2013-04-30,,223.62499999999997,,
2013-05-01,152.37500000000003,,,
2013-05-02,,251.49999999999997,,
2013-05-03,,239.1171875,,
2013-05-04,162.7578125,,,
2013-05-05,148.859375,,,
2013-05-06,,230.765625,,
2013-05-07,,249.625,,
2013-05-08,,268.6171875,,
2013-05-09,183.37500000000003,,,
2013-05-10,,246.3828125,,
2013-05-11,160.5,,,
2013-05-12,166.87500000000003,,,
2013-05-13,,269.0,,
2013-05-14,,238.359375,,
2013-05-15,,237.0,,
2013-05-16,,250.49999999999997,,
2013-05-17,,222.234375,,
2013-05-18,153.14062500000003,,,
2013-05-19,149.875,,,
2013-05-20,151.015625,,,
2013-05-21,,254.64062499999991,,
2013-05-22,,249.12500000000003,,
2013-05-23,,283.25,,
2013-05-24,,242.75,,
2013-05-25,171.5,,,
2013-05-26,163.125,,,
2013-05-27,,235.125,,
2013-05-28,,234.35156250000003,,
2013-05-29,,218.88281250000003,,
2013-05-30,,222.5,,
2013-05-31,,221.125,,
2013-06-01,148.859375,,,
2013-06-02,133.765625,,,
2013-06-03,,205.625,,
2013-06-04,,248.87499999999997,,
2013-06-05,,279.5,,
2013-06-06,,,331.5,
2013-06-07,,,359.375,
2013-06-08,,,332.125,
2013-06-09,,234.75,,
2013-06-10,,276.5,,
2013-06-11,,247.10937499999994,,
