Time,0,1,2,3
00:00:00,0.02876672977807828,0.09354523106450602,0.25616452319417066,0.40425998030448496
01:00:00,0.028570705906519986,0.09458925665752355,0.2617141934577162,0.41080974790579466
02:00:00,0.0291795542558673,0.09693427804564501,0.2699773251972556,0.4345631094794323
03:00:00,0.03248124674586755,0.10201044886825437,0.2874669698122893,0.4668917507806316
04:00:00,0.040698892877108414,0.1233483730471112,0.30271932355402376,0.491518142703344
05:00:00,0.05542326703680536,0.16265409601497344,0.33530857950528653,0.5049522362487182
06:00:00,0.1994634787189998,0.41003566907547556,0.6270681077329803,0.8226149789481941
07:00:00,0.1297238442354643,0.2683994226857212,0.4769610868232053,0.7126007166838748
08:00:00,0.09816279556336956,0.2815397978083177,0.5141665674580436,0.7823718848111448
09:00:00,0.11306964357170143,0.3324037559047144,0.5947241382785663,0.921936397743108
10:00:00,0.10654936551371946,0.3380436252266531,0.6066492042783918,0.9667281595287488
11:00:00,0.12736583655243996,0.36947872984015095,0.6350318994240545,0.9868405601531021
12:00:00,0.1595625469632089,0.3641079608535674,0.5607026210314499,0.8807673039926943
13:00:00,0.10862884461557507,0.28253942544318866,0.48973050620671665,0.7940619247596729
14:00:00,0.09225949585852124,0.2824640618218834,0.48953522625495527,0.786635079811606
15:00:00,0.08581871133116205,0.2661929122482261,0.4903907087269599,0.8072919087589376
16:00:00,0.0946226224361147,0.33752169853763975,0.5460362856003668,0.8486895242693975
17:00:00,0.1383612259250084,0.3242390093645538,0.48217965158945375,0.7626023648339576
18:00:00,0.11201364397764435,0.24736224602470647,0.4487161961419483,0.6988648973576688
19:00:00,0.08739774239628395,0.21327989789188911,0.38961701322034004,0.6130916698066439
20:00:00,0.058501835572195036,0.16381380394506267,0.3455302092386661,0.5286157817679813
21:00:00,0.03030149736915625,0.0926989783658572,0.21893297547405768,0.380639205117407
22:00:00,0.00982558391786097,0.0662714079083249,0.22577710262034184,0.374564708679946
23:00:00,0.0237506865340622,0.10297751792618512,0.25071379471593136,0.37992527838281
