timestampstring,0,1,2,3
2013-01-01,0.0,,,
2013-01-02,0.0,,,
2013-01-03,0.0,,,
2013-01-04,0.0,,,
2013-01-05,0.0,,,
2013-01-06,0.0,,,
2013-01-07,0.0,,,
2013-01-08,0.0,,,
2013-01-09,0.0,,,
2013-01-10,0.0,,,
2013-01-11,0.0,,,
2013-01-12,0.0,,,
2013-01-13,0.0,,,
2013-01-14,0.0,,,
2013-01-15,,,,
2013-01-16,,245.0,,
2013-01-17,,256.0,,
2013-01-18,,232.0,,
2013-01-19,,262.0,,
2013-01-20,,202.0,,
2013-01-21,,281.0,,
2013-01-22,,302.0,,
2013-01-23,,,347.0,
2013-01-24,,,343.0,
2013-01-25,,273.0,,
2013-01-26,,265.0,,
2013-01-27,,194.0,,
2013-01-28,,,325.0,
2013-01-29,,294.0,,
2013-01-30,,,344.0,
2013-01-31,,299.0,,
2013-02-01,,,335.0,
2013-02-02,,302.0,,
2013-02-03,,207.0,,
2013-02-04,,289.0,,
2013-02-05,,280.0,,
2013-02-06,,278.0,,
2013-02-07,,271.0,,
2013-02-08,,246.0,,
2013-02-09,,229.0,,
2013-02-10,,153.0,,
2013-02-11,,207.5,,
2013-02-12,,228.0,,
2013-02-13,,247.0,,
2013-02-14,,246.0,,
2013-02-15,,279.0,,
2013-02-16,,272.0,,
2013-02-17,,193.0,,
2013-02-18,,283.0,,
2013-02-19,,277.0,,
2013-02-20,,283.0,,
2013-02-21,,230.0,,
2013-02-22,,234.0,,
2013-02-23,,244.0,,
2013-02-24,,185.0,,
2013-02-25,,264.0,,
2013-02-26,,248.0,,
2013-02-27,,288.0,,
2013-02-28,,299.0,,
2013-03-01,,280.0,,
2013-03-02,,258.0,,
2013-03-03,,193.0,,
2013-03-04,,285.0,,
2013-03-05,,,328.0,
2013-03-06,,,346.0,
2013-03-07,,,353.0,
2013-03-08,,,347.0,
2013-03-09,,,309.0,
2013-03-10,,199.0,,
2013-03-11,,,366.0,
2013-03-12,,,343.0,
2013-03-13,,292.0,,
2013-03-14,,274.0,,
2013-03-15,,264.0,,
2013-03-16,,268.0,,
2013-03-17,,201.0,,
2013-03-18,,,324.0,
2013-03-19,,300.0,,
2013-03-20,,,327.0,
2013-03-21,,,323.0,
2013-03-22,,,347.0,
2013-03-23,,288.0,,
2013-03-24,,198.0,,
2013-03-25,,291.0,,
2013-03-26,,282.0,,
2013-03-27,,,307.0,
2013-03-28,,278.0,,
2013-03-29,,202.0,,
2013-03-30,,266.0,,
2013-03-31,,,,
2013-04-01,0.0,,,
2013-04-02,,,,
2013-04-03,,,,
2013-04-04,,,,
2013-04-05,,,,
2013-04-06,,,,
2013-04-07,,,,
2013-04-08,,,375.15407855,
2013-04-09,,,375.839879155,
2013-04-10,,,320.0,
2013-04-11,,,381.0,
2013-04-12,,,339.0,
2013-04-13,,,294.0,
2013-04-14,,219.0,,
2013-04-15,,,389.0,
2013-04-16,,,,429.0
2013-04-17,,,,452.0
2013-04-18,,,,479.0
2013-04-19,,,,426.0
2013-04-20,,264.0,,
2013-04-21,,216.0,,
2013-04-22,,,,405.0
2013-04-23,,,,415.0
2013-04-24,,,,438.0
2013-04-25,,,,448.0
2013-04-26,,,,450.0
2013-04-27,,,318.0,
2013-04-28,,195.0,,
2013-04-29,,,,406.0
2013-04-30,,,,415.0
2013-05-01,,245.0,,
2013-05-02,,,,439.0
2013-05-03,,,,413.0
2013-05-04,,,314.0,
2013-05-05,,272.0,,
2013-05-06,,,,423.0
2013-05-07,,,,403.0
2013-05-08,,,,421.0
2013-05-09,,222.0,,
2013-05-10,,,375.0,
2013-05-11,,277.0,,
2013-05-12,,180.0,,
2013-05-13,,,339.0,
2013-05-14,,,397.0,
2013-05-15,,,,402.0
2013-05-16,,,,405.0
2013-05-17,,,371.0,
2013-05-18,,,289.0,
2013-05-19,,190.0,,
2013-05-20,,194.0,,
2013-05-21,,,353.0,
2013-05-22,,,334.0,
2013-05-23,,,325.0,
2013-05-24,,,330.0,
2013-05-25,,288.0,,
2013-05-26,,195.0,,
2013-05-27,,,384.0,
2013-05-28,,,,413.0
2013-05-29,,,356.0,
2013-05-30,,,362.0,
2013-05-31,,,361.0,
2013-06-01,,285.0,,
2013-06-02,,212.0,,
2013-06-03,,,325.0,
2013-06-04,,,358.0,
2013-06-05,,,397.0,
2013-06-06,,,,406.0
2013-06-07,,,,423.0
2013-06-08,,,334.0,
2013-06-09,,226.0,,
2013-06-10,,,388.0,
2013-06-11,,,394.0,
2013-06-12,,,,404.0
2013-06-13,,,,445.0
2013-06-14,,,,407.0
2013-06-15,,,328.0,
2013-06-16,,248.0,,
2013-06-17,,,,481.0
2013-06-18,,,,563.0
2013-06-19,,,,570.0
2013-06-20,,,,557.0
2013-06-21,,,,473.0
2013-06-22,,,361.0,
2013-06-23,,260.0,,
2013-06-24,,,395.0,
2013-06-25,,,363.0,
2013-06-26,,,372.0,
2013-06-27,,,359.0,
2013-06-28,,,373.0,
2013-06-29,,285.0,,
2013-06-30,,216.0,,
2013-07-01,,,,423.0
2013-07-02,,,,406.0
2013-07-03,,,,429.0
2013-07-04,,,,433.0
2013-07-05,,,,428.0
2013-07-06,,,354.0,
2013-07-07,,259.0,,
2013-07-08,,,,463.0
2013-07-09,,,,489.0
2013-07-10,,,,482.0
2013-07-11,,,,481.0
2013-07-12,,,,451.0
2013-07-13,,,361.0,
2013-07-14,,272.0,,
2013-07-15,,,,459.0
2013-07-16,,,,479.0
2013-07-17,,,,484.0
2013-07-18,,,,503.0
2013-07-19,,,,492.0
2013-07-20,,,399.0,
2013-07-21,,297.0,,
2013-07-22,,,,488.0
2013-07-23,,,,515.0
2013-07-24,,,,518.0
2013-07-25,,,,523.0
2013-07-26,,,,532.0
2013-07-27,,,,429.0
2013-07-28,,319.0,,
2013-07-29,,,,483.0
2013-07-30,,,,470.0
2013-07-31,,,,477.0
2013-08-01,,311.0,,
2013-08-02,,,,492.0
2013-08-03,,,,416.0
2013-08-04,,312.0,,
2013-08-05,,,,513.0
2013-08-06,,,,546.0
2013-08-07,,,,526.0
2013-08-08,,,,500.0
2013-08-09,,,,479.0
2013-08-10,,,361.0,
2013-08-11,,273.0,,
2013-08-12,,,,469.0
2013-08-13,,,,464.0
2013-08-14,,,,444.0
2013-08-15,,,,446.0
2013-08-16,,,,449.0
2013-08-17,,,394.0,
2013-08-18,,289.0,,
2013-08-19,,,,486.0
2013-08-20,,,,435.0
2013-08-21,,,,428.0
2013-08-22,,,,456.0
2013-08-23,,,,455.0
2013-08-24,,,366.0,
2013-08-25,,248.0,,
2013-08-26,,,400.0,
2013-08-27,,,381.0,
2013-08-28,,,388.0,
2013-08-29,,,393.0,
2013-08-30,,,394.0,
2013-08-31,,,311.0,
2013-09-01,,222.0,,
2013-09-02,,,365.0,
2013-09-03,,,381.0,
2013-09-04,,,,422.0
2013-09-05,,,,446.0
2013-09-06,,,,445.0
2013-09-07,,,359.0,
2013-09-08,,242.0,,
2013-09-09,,,363.0,
2013-09-10,,,370.0,
2013-09-11,,,327.0,
2013-09-12,,,328.0,
2013-09-13,,,343.0,
2013-09-14,,286.0,,
2013-09-15,,197.0,,
2013-09-16,,,347.0,
2013-09-17,,275.027027027,,
2013-09-18,,,364.0,
2013-09-19,,,357.0,
2013-09-20,,,358.0,
2013-09-21,,269.0,,
2013-09-22,,188.0,,
2013-09-23,,,375.0,
2013-09-24,,,391.0,
2013-09-25,,,,411.0
2013-09-26,,,,416.0
2013-09-27,,,,439.0
2013-09-28,,287.0,,
2013-09-29,,182.0,,
2013-09-30,,,348.0,
2013-10-01,,,344.0,
2013-10-02,,,321.0,
2013-10-03,,,349.0,
2013-10-04,,,388.0,
2013-10-05,,283.0,,
2013-10-06,,176.0,,
2013-10-07,,,341.0,
2013-10-08,,,345.0,
2013-10-09,,,351.0,
2013-10-10,,,303.0,
2013-10-11,,,302.0,
2013-10-12,,257.0,,
2013-10-13,,192.0,,
2013-10-14,,,355.0,
2013-10-15,,,354.0,
2013-10-16,,,337.0,
2013-10-17,,,347.0,
2013-10-18,,,331.0,
2013-10-19,,286.0,,
2013-10-20,,181.0,,
2013-10-21,,,350.0,
2013-10-22,,,358.0,
2013-10-23,,,340.0,
2013-10-24,,,329.0,
2013-10-25,,,341.0,
2013-10-26,,242.5,,
2013-10-27,,169.25,,
2013-10-28,,,338.0,
2013-10-29,,,310.0,
2013-10-30,,,293.0,
2013-10-31,,,314.0,
2013-11-01,,,317.0,
2013-11-02,,255.0,,
2013-11-03,,171.0,,
2013-11-04,,289.0,,
2013-11-05,,291.0,,
2013-11-06,,,305.0,
2013-11-07,,,315.0,
2013-11-08,,,326.0,
2013-11-09,,238.0,,
2013-11-10,,165.0,,
2013-11-11,,288.0,,
2013-11-12,,274.0,,
2013-11-13,,275.0,,
2013-11-14,,279.0,,
2013-11-15,,257.0,,
2013-11-16,,226.0,,
2013-11-17,,165.0,,
2013-11-18,,281.0,,
2013-11-19,,,295.0,
2013-11-20,,275.0,,
2013-11-21,,266.0,,
2013-11-22,,266.0,,
2013-11-23,,224.0,,
2013-11-24,,162.0,,
2013-11-25,,252.0,,
2013-11-26,,252.0,,
2013-11-27,,239.0,,
2013-11-28,,240.0,,
2013-11-29,,254.0,,
2013-11-30,,219.0,,
2013-12-01,,163.0,,
2013-12-02,,269.0,,
2013-12-03,,264.0,,
2013-12-04,,259.0,,
2013-12-05,,262.0,,
2013-12-06,,266.0,,
2013-12-07,,251.0,,
2013-12-08,,173.0,,
2013-12-09,,231.0,,
2013-12-10,,229.0,,
2013-12-11,,,312.0,
2013-12-12,,,360.0,
2013-12-13,,,398.0,
2013-12-14,,,326.0,
2013-12-15,,219.0,,
2013-12-16,,,350.0,
2013-12-17,,,338.0,
2013-12-18,,,336.0,
2013-12-19,,,357.0,
2013-12-20,,,348.0,
2013-12-21,,277.0,,
2013-12-22,,203.0,,
2013-12-23,,254.0,,
2013-12-24,,224.0,,
2013-12-25,,211.0,,
2013-12-26,,209.0,,
2013-12-27,,240.0,,
2013-12-28,,235.0,,
2013-12-29,,207.0,,
2013-12-30,,244.0,,
2013-12-31,,250.0,,
