timestampstring,0,1,2,3
2013-01-01,610.5,,,
2013-01-02,612.25,,,
2013-01-03,633.0,,,
2013-01-04,649.75,,,
2013-01-05,623.25,,,
2013-01-06,612.0,,,
2013-01-07,740.5,,,
2013-01-08,,825.0,,
2013-01-09,,842.5,,
2013-01-10,,813.25,,
2013-01-11,,790.25,,
2013-01-12,716.25,,,
2013-01-13,642.75,,,
2013-01-14,733.25,,,
2013-01-15,726.75,,,
2013-01-16,719.5,,,
2013-01-17,705.75,,,
2013-01-18,701.0,,,
2013-01-19,672.0,,,
2013-01-20,670.5,,,
2013-01-21,749.0,,,
2013-01-22,742.0,,,
2013-01-23,768.5,,,
2013-01-24,,813.75,,
2013-01-25,,795.25,,
2013-01-26,734.5,,,
2013-01-27,693.0,,,
2013-01-28,,890.5,,
2013-01-29,,1009.0,,
2013-01-30,,993.0,,
2013-01-31,,973.25,,
2013-02-01,,907.25,,
2013-02-02,,774.75,,
2013-02-03,675.75,,,
2013-02-04,727.25,,,
2013-02-05,,801.75,,
2013-02-06,,966.25,,
2013-02-07,,963.75,,
2013-02-08,,977.0,,
2013-02-09,,867.0,,
2013-02-10,655.5,,,
2013-02-11,747.0,,,
2013-02-12,754.25,,,
2013-02-13,734.75,,,
2013-02-14,721.75,,,
2013-02-15,715.5,,,
2013-02-16,693.75,,,
2013-02-17,674.5,,,
2013-02-18,738.75,,,
2013-02-19,,772.0,,
2013-02-20,,969.25,,
2013-02-21,,857.75,,
2013-02-22,730.25,,,
2013-02-23,649.25,,,
2013-02-24,629.25,,,
2013-02-25,698.25,,,
2013-02-26,763.5,,,
2013-02-27,,890.75,,
2013-02-28,,937.75,,
2013-03-01,,883.5,,
2013-03-02,,815.5,,
2013-03-03,,819.25,,
2013-03-04,,985.25,,
2013-03-05,,,1072.0,
2013-03-06,,,1131.25,
2013-03-07,,838.25,,
2013-03-08,770.5,,,
2013-03-09,740.75,,,
2013-03-10,726.75,,,
2013-03-11,,852.5,,
2013-03-12,749.75,,,
2013-03-13,659.0,,,
2013-03-14,672.0,,,
2013-03-15,667.0,,,
2013-03-16,660.0,,,
2013-03-17,673.0,,,
2013-03-18,758.0,,,
2013-03-19,687.75,,,
2013-03-20,,806.25,,
2013-03-21,,996.25,,
2013-03-22,,944.75,,
2013-03-23,659.5,,,
2013-03-24,629.0,,,
2013-03-25,731.75,,,
2013-03-26,753.5,,,
2013-03-27,729.75,,,
2013-03-28,656.75,,,
2013-03-29,595.25,,,
2013-03-30,584.0,,,
2013-03-31,,,,
2013-04-01,588.25,,,
2013-04-02,725.25,,,
2013-04-03,,856.75,,
2013-04-04,,891.25,,
2013-04-05,,796.25,,
2013-04-06,656.5,,,
2013-04-07,651.25,,,
2013-04-08,700.5,,,
2013-04-09,,881.5,,
2013-04-10,,940.75,,
2013-04-11,,906.5,,
2013-04-12,,807.5,,
